City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,bakchar,57.02,82.07,62.08,45,6,7.45,RU,1589437750
307,lewiston,44.1,-70.21,42.01,51,1,5.99,US,1589437750
308,adrar,20.5,-10.07,75.43,21,0,10.2,MR,1589437750
309,khairagarh,26.95,77.82,104.72,17,7,4.0,IN,1589437750
310,leh,34.17,77.58,50.76,41,89,1.21,IN,1589437750
311,huilong,31.81,121.66,81.0,61,89,5.99,CN,1589437750
312,mount gambier,-37.83,140.77,53.6,71,90,5.82,AU,1589437751
313,san francisco de macoris,19.3,-70.26,79.0,94,75,11.41,DO,1589437751
314,novikovo,51.15,37.89,51.87,61,83,12.21,RU,1589437751
315,cidreira,-30.18,-50.21,59.9,80,68,12.12,BR,1589437751
316,paita,-5.09,-81.11,69.55,84,86,9.86,PE,1589437751
317,constitucion,-35.33,-72.42,53.96,62,51,4.85,CL,1589437751
318,starodub,52.58,32.76,45.27,88,100,11.27,RU,1589437752
319,cuamba,-14.8,36.54,73.29,54,0,3.0,MZ,1589437752
320,yar-sale,66.83,70.83,43.92,78,89,17.76,RU,1589437752
321,bathsheba,13.22,-59.52,78.8,69,20,14.99,BB,1589437752
322,sajanan,37.06,9.24,64.4,100,100,3.36,TN,1589437752
323,shimoda,34.67,138.95,73.0,56,21,17.22,JP,1589437753
324,asfi,32.3,-9.24,62.17,72,47,20.6,MA,1589437753
325,damghan,36.17,54.35,64.99,28,41,8.21,IR,1589437753
326,kemerovo,55.33,86.08,55.4,54,75,13.42,RU,1589437753
327,bahir dar,11.59,37.39,78.04,43,58,3.47,ET,1589437753
328,kamennomostskiy,44.3,40.19,61.5,54,1,3.27,RU,1589437754
329,saint-francois,46.42,3.91,50.0,81,90,6.93,FR,1589437754
330,upata,8.01,-62.4,77.0,91,98,1.99,VE,1589437754
331,smithers,54.78,-127.17,52.93,66,57,4.25,CA,1589437654
332,dubno,50.42,25.73,44.6,93,75,8.95,UA,1589437754
333,puerto ayacucho,5.66,-67.62,75.9,92,100,4.05,VE,1589437754
334,aquiraz,-3.9,-38.39,77.0,88,40,9.17,BR,1589437755
335,leningradskiy,69.38,178.42,30.18,96,97,9.93,RU,1589437746
336,te anau,-45.42,167.72,44.46,83,47,3.62,NZ,1589437755
337,geetbets,50.89,5.11,45.0,69,9,11.41,BE,1589437755
338,hurricane,37.18,-113.29,68.0,31,1,3.36,US,1589437755
339,talisay,10.24,123.85,86.0,74,90,5.82,PH,1589437755
340,grenville,12.12,-61.62,79.07,79,14,16.33,GD,1589437755
341,skeldon,5.88,-57.13,75.81,93,100,6.38,GY,1589437756
342,norman wells,65.28,-126.83,21.51,95,89,4.83,CA,1589437756
343,cabo san lucas,22.89,-109.91,72.0,43,0,15.46,MX,1589437657
344,college,64.86,-147.8,51.8,27,40,17.22,US,1589437756
345,lufilufi,-13.87,-171.6,84.58,76,28,10.67,WS,1589437756
346,calvia,39.57,2.51,61.0,87,57,1.12,ES,1589437757
347,bongandanga,1.5,21.05,76.44,75,58,1.88,CD,1589437757
348,carauari,-4.88,-66.9,73.62,98,85,3.58,BR,1589437757
349,kataysk,56.29,62.58,68.04,44,100,5.61,RU,1589437757
350,culiacancito,24.82,-107.53,66.0,85,0,1.99,MX,1589437757
351,eirunepe,-6.66,-69.87,71.96,90,13,1.66,BR,1589437757
352,port macquarie,-31.43,152.92,63.0,73,1,1.99,AU,1589437729
353,lasa,46.62,10.7,44.6,87,90,3.36,IT,1589437758
354,emerald,-23.53,148.17,82.4,28,9,6.93,AU,1589437758
355,ust-kuyga,70.02,135.6,41.31,72,49,2.95,RU,1589437758
356,mecca,21.43,39.83,100.63,18,53,2.75,SA,1589437554
357,klyuchi,52.27,79.17,86.27,22,1,2.04,RU,1589437759
358,santa rosa,14.31,121.11,89.01,79,75,10.29,PH,1589437759
359,arraial do cabo,-22.97,-42.03,74.35,81,87,12.57,BR,1589437759
360,korla,41.76,86.15,83.23,15,66,7.81,CN,1589437759
361,srandakan,-7.94,110.25,84.96,71,60,18.19,ID,1589437759
362,baruun-urt,46.68,113.28,64.83,29,0,4.09,MN,1589437759
363,hastings,50.86,0.57,43.0,85,3,16.69,GB,1589437760
364,honiara,-9.43,159.95,86.0,74,90,11.41,SB,1589437760
365,sawakin,19.11,37.33,88.02,39,0,6.22,SD,1589437760
366,kano,12.0,8.52,82.4,69,82,9.17,NG,1589437760
367,bao,13.64,122.83,89.31,66,99,10.2,PH,1589437761
368,yangjiang,21.85,111.97,88.0,63,42,14.07,CN,1589437761
369,vanderhoof,54.02,-124.02,55.06,52,72,8.39,CA,1589437761
370,maceio,-9.67,-35.74,73.4,100,40,2.24,BR,1589437702
371,ca mau,9.18,105.15,95.76,46,99,8.68,VN,1589437761
372,nouakchott,18.09,-15.98,71.6,40,0,13.87,MR,1589437761
373,asau,46.43,26.4,60.01,71,86,5.06,RO,1589437762
374,aras,42.56,-2.36,53.6,93,90,1.12,ES,1589437762
375,banda aceh,5.56,95.32,86.32,73,77,4.12,ID,1589437503
376,sola,-13.88,167.55,79.99,81,84,18.03,VU,1589437762
377,richards bay,-28.78,32.04,64.11,67,2,9.08,ZA,1589437762
378,eureka,40.8,-124.16,55.99,82,100,5.68,US,1589437629
379,fairmount,43.05,-76.24,37.99,59,40,3.36,US,1589437762
380,yicheng,31.37,119.87,86.0,37,97,1.01,CN,1589437763
381,kuala terengganu,5.33,103.14,91.4,70,40,6.93,MY,1589437763
382,arraias,-12.93,-46.94,66.15,85,23,2.57,BR,1589437763
383,port augusta,-32.5,137.77,61.0,44,0,9.17,AU,1589437763
